Location,Period,FactValueNumeric
Eastern Mediterranean,2020,25
South-East Asia,2020,61
Europe,2020,64
Americas,2020,71
(WHO) Global,2020,73
Western Pacific,2020,76
Africa,2020,76
Eastern Mediterranean,2015,14
South-East Asia,2015,37
Western Pacific,2015,43
Europe,2015,48
(WHO) Global,2015,49
Africa,2015,51
Americas,2015,59
South-East Asia,2010,17
Western Pacific,2010,17
Africa,2010,24
(WHO) Global,2010,25
Europe,2010,38
Americas,2010,45
Eastern Mediterranean,2010,7
Europe,2005,29
South-East Asia,2005,3
Eastern Mediterranean,2005,3
Americas,2005,32
Africa,2005,4
Western Pacific,2005,5
(WHO) Global,2005,7
Africa,2000,0
South-East Asia,2000,0
Western Pacific,2000,1
Americas,2000,19
Eastern Mediterranean,2000,2
(WHO) Global,2000,2
Europe,2000,25
(WHO) Global,1995,0
Africa,1995,0
South-East Asia,1995,0
Western Pacific,1995,0
Eastern Mediterranean,1995,1
Americas,1995,1
Europe,1995,3
(WHO) Global,1990,0
Africa,1990,0
Americas,1990,0
South-East Asia,1990,0
Europe,1990,0
Eastern Mediterranean,1990,0
Western Pacific,1990,0
